size=64, nhead=8, dropout=0.4, neigh-por=0.6, lr=0.01, batch-size=256, epochs=100, attributed=True, supervised=True
1	0.9977803 -0.995734 -0.9999933 -0.512416
2	0.99316037 -0.9853846 -0.99982506 -0.966303
3	0.74285316 -0.9997012 -0.99996185 0.98733217
6	0.99323183 -0.99896675 -0.9496483 -0.9990791
8	0.99044514 -0.9992594 -0.9999749 -0.3079504
10	0.9939087 -0.99770045 -0.9991715 -0.96881175
11	0.9233923 -0.9985021 -0.9997694 -0.3632409
12	0.88665444 -0.9999401 -0.99842525 -0.28727332
13	0.49552253 -0.99864113 -0.9999652 0.9699992
15	0.893363 -0.99922556 -0.9326513 -0.9860214
16	0.99648094 -0.99941653 -0.9999677 -0.43467134
20	0.4863991 -0.99775255 -0.80117965 -0.98457533
30	0.9984857 -0.99985105 -0.9960793 -0.979429
33	0.99168664 -0.9999044 -0.99912816 -0.5993862
38	0.99897486 -0.9998165 -0.99489444 -0.9911095
49	0.9226636 -0.941216 -0.98465955 -0.9957673
53	0.6574823 -0.9995044 -0.999916 -0.23720731
54	0.64261943 -0.9945279 -0.9983737 -0.64546734
55	0.24943915 -0.99813455 -0.7570189 -0.8665771
56	0.8267363 -0.99991024 -0.44111204 -0.5494391
57	0.7485979 -0.99814904 -0.4557924 -0.9946982
58	0.7486628 -0.9999216 -0.9110701 -0.6557841
60	0.9145904 -0.9999624 -0.94202995 -0.7463227
64	-0.9823808 -0.9996842 0.9005217 -0.91127414
74	0.23153494 -0.99989086 -0.2407873 -0.46557122
75	0.7982949 -0.9998078 -0.9882861 -0.61040473
86	0.93403214 -0.9840263 -0.9961512 -0.9890964
87	0.9654424 -0.99997485 -0.9975514 0.87294173
91	0.93150556 -0.998289 -0.9980492 -0.4075655
92	0.96093094 -0.99903923 -0.8424293 -0.9981319
93	0.40380463 -0.9269713 -0.3363499 -0.9999479
94	0.99735487 -0.998692 -0.99962723 -0.9456438
96	0.9976752 -0.99616176 -0.9999724 0.028075177
98	0.9037964 -0.98947895 -0.99585426 -0.9085795
99	0.9972075 -0.9997921 -0.99984205 -0.6068078
100	0.98841 -0.99984145 -0.9992534 -0.58669794
102	0.99576443 -0.9998942 -0.9981263 -0.85861796
105	0.50062287 -0.7914555 -0.9618434 -0.9982659
106	-0.94157374 -0.9989325 -0.9639357 -0.059997384
108	0.36142194 -0.9998164 0.7535887 0.2373587
112	-0.99989897 -0.99253994 0.9994998 -0.99781156
117	0.9548022 -0.9996153 -0.9986872 -0.6079647
120	0.99112123 -0.99998295 -0.99431777 -0.66114444
129	0.99724096 -0.9986822 -0.9999721 -0.5802852
132	0.9627169 -0.9926372 -0.9994095 -0.90350485
134	0.94269246 -0.9998196 -0.9991437 -0.3722043
135	0.99842757 -0.99856085 -0.9978555 -0.9951176
137	-0.97728056 -0.9978105 -0.9289169 -0.054721493
138	0.3827278 -0.9999713 -0.9989606 0.9958714
143	0.9984438 -0.9997675 -0.9986652 -0.95581895
145	0.96532696 -0.9989035 -0.9748645 -0.98958486
149	0.974546 -0.9997188 -0.7598637 -0.9984009
152	0.9433447 -0.3349522 -0.99899626 -0.9859132
154	0.9662414 -0.99992085 -0.99661195 -0.5734282
155	0.8650036 -0.85315055 -0.9985274 0.17368247
159	0.99851125 -0.99994713 -0.17401943 -0.9747662
162	-0.25814423 -0.9990764 -0.998828 0.41569498
163	0.98509717 -0.99987364 -0.999792 -0.33205396
166	0.99321574 -0.9948622 -0.99983066 -0.9143016
168	0.99607563 -0.9993879 -0.9803329 -0.99744
178	0.9309724 -0.9999675 -0.94075626 0.013814357
180	0.98263204 -0.9987938 -0.99799746 -0.9410676
183	0.94292706 -0.99988526 -0.8303818 -0.9858934
185	0.99768704 -0.9998436 -0.9997559 -0.6713006
186	0.6074152 -0.9996411 -0.9974474 -0.31146595
189	-0.7746056 -0.9317315 -0.9992072 0.8397744
190	0.5688412 -0.97030807 -0.79472214 -0.9864191
193	0.9944358 -0.999599 -0.99972415 -0.69863087
196	0.71468675 -0.9979318 -0.5279757 -0.9988844
201	0.99912995 -0.9976441 -0.99996865 -0.7699592
208	0.90447885 -0.9999278 -0.99926996 -0.26398596
210	-0.08524182 -0.9977574 -0.9994944 0.8498492
212	0.27039737 -0.99918604 -0.9703507 -0.36282828
213	0.9955311 -0.9974116 -0.9998693 -0.84641874
214	0.99585134 -0.9986019 -0.9999747 -0.39073414
220	0.98860615 -0.9977339 -0.9999778 -0.37079442
221	0.47533455 -0.91138095 -0.997152 -0.8110367
224	0.3711341 -0.99970126 -0.42570505 -0.97779363
225	0.97593623 -0.9992043 -0.99079484 -0.9742518
241	0.98720956 -0.99924624 -0.9962098 -0.96270776
244	0.3426778 -0.98790115 -0.99809563 -0.46942982
247	0.9743909 -0.99886346 -0.9995914 -0.67213875
248	0.99587005 -0.9995442 -0.97321063 -0.9971686
249	0.4547125 -0.9869695 -0.9910658 -0.8855662
252	0.9754489 -0.88068116 -0.999862 -0.943962
256	0.9756852 -0.9913468 -0.9992526 -0.9606503
257	0.98712605 -0.9979543 -0.9999688 -0.21284053
263	0.9885856 -0.999962 -0.7898547 -0.97336406
268	0.99504524 -0.9986626 -0.99968475 -0.89062303
283	0.99933106 -0.99010456 -0.99999 -0.6908248
285	0.99443793 -0.9990056 -0.99984115 -0.74286187
286	0.9978602 -0.999953 -0.96104985 -0.9852584
289	0.9905671 -0.98418885 -0.99982053 -0.9592262
299	0.9950831 -0.9996364 -0.9469734 -0.99833417
300	0.9965013 -0.9987088 -0.9989122 -0.976071
301	0.9610538 -0.94526756 -0.999832 -0.91092604
305	0.7862819 -0.99852455 -0.99992317 0.15924807
310	0.28907174 -0.99679345 -0.98533547 -0.50218356
311	0.9665004 -0.99981296 -0.99097246 0.4843601
312	0.99638665 -0.99985325 -0.9974471 -0.92766017
315	0.98139614 -0.99526787 -0.99997616 -0.4280364
317	0.79518664 -0.98944944 -0.5075886 -0.9982668
327	0.9964184 -0.99986935 -0.99912155 -0.8051435
332	0.36390853 -0.99867564 -0.4020809 -0.99459517
334	0.98909223 -0.9907461 -0.9999347 -0.8117692
336	0.93343735 -0.9923695 -0.99947023 -0.83978534
346	0.9386469 -0.99906784 -0.99996966 -0.24642189
347	0.95301914 -0.9507513 -0.99914074 -0.982894
348	0.7117288 -0.94079953 -0.99921566 -0.89516103
351	0.45474392 -0.7079643 -0.9938905 0.113611825
352	0.99146223 -0.99954134 -0.99860317 -0.8944333
354	0.9791125 -0.9773216 -0.9999278 -0.8537668
357	-0.22748654 -0.9999418 -0.9995639 0.9101632
359	0.990854 -0.99968815 -0.9998955 -0.39529777
361	0.5512773 -0.99126 -0.9998968 0.9128336
367	-0.8140613 -0.4175565 -0.6487567 -0.9957762
368	0.69396406 -0.99667954 -0.8863263 -0.99214536
370	0.99319005 -0.9999412 -0.9868747 -0.9425458
372	-0.9410212 0.18835331 -0.99943036 0.88932985
374	0.30657175 -0.025827523 -0.99998236 0.999812
378	-0.20457047 -0.9982602 -0.9999105 0.99903935
386	0.9916857 -0.99981534 -0.9681854 -0.98936415
388	-0.8198041 0.23910703 -0.9725006 -0.72321385
389	0.96922314 -0.5222791 -0.999399 -0.9922405
393	0.9945037 -0.97265756 -0.99913675 -0.9971218
394	0.9509964 -0.9928161 -0.99915296 -0.92144805
398	0.958321 -0.9637843 -0.99925077 -0.9816157
399	0.9950859 -0.9995842 -0.9937097 -0.98470545
402	0.9922786 -0.930076 -0.9981544 0.09400744
408	-0.84013164 0.11018942 -0.99985445 0.954231
409	-0.04537038 -0.9989035 -0.9999497 0.9859381
416	0.07437328 -0.9829713 -0.99998796 0.99609256
417	0.9986679 -0.99903494 -0.9999926 -0.40894854
418	0.9981389 -0.9996269 -0.9999991 0.9886566
419	0.99948454 -0.9999251 -0.99955344 -0.8477472
429	0.9982994 -0.9998715 -0.99362636 -0.9832785
430	0.23764807 -0.7692762 -0.9998376 0.997632
431	0.52543914 -0.99975127 -0.41415325 -0.99060804
436	0.99053204 -0.99891746 -0.99998415 -0.30907267
437	0.9934359 -0.83772314 -0.99995774 -0.7634552
440	0.9984653 -0.999963 -0.9884516 -0.9759053
442	0.90000975 -0.9959556 -0.99999803 -0.23550098
443	0.99448687 -0.9942406 -0.9999114 -0.88064104
444	0.24244137 -0.74532247 -0.9993572 0.919227
446	0.9945602 -0.99928135 -0.99996424 -0.4114429
447	-0.22676376 -0.24790508 -0.9999016 0.96993655
450	0.9850568 -0.9849546 -0.9965756 -0.97978425
452	0.98598695 -0.9731503 -0.99982435 -0.9616114
453	0.9966888 -0.9997808 -0.99898124 -0.8726484
457	-0.26578733 -0.9996369 -0.9999022 0.9610759
460	0.99298275 -0.99754965 -0.9991467 -0.944292
462	-0.6668928 -0.9989947 -0.99982136 0.99265504
464	0.7440317 -0.9989885 -0.77875614 -0.99291307
467	0.8552713 -0.99324596 -0.9768046 -0.99124914
473	0.90566707 -0.35599655 -0.99984217 -0.42486665
476	-0.96228456 -0.9994182 -0.998937 0.9970277
479	0.3360646 -0.9811059 -0.9965605 -0.64082575
486	0.99079686 -0.9981904 -0.99983793 -0.7573106
490	0.5382547 -0.56915075 -0.99633247 -0.99580073
492	0.9608235 -0.9995222 -0.9987208 -0.663343
494	0.33846703 -0.9977559 -0.9995458 0.26686484
507	-0.9428249 0.23353288 -0.99007326 0.9472379
515	-0.33619606 -0.9997851 -0.9998044 0.9986952
517	0.99640477 -0.99965405 -0.995498 -0.9778044
518	0.9549696 -0.99863726 -0.9999333 -0.32265332
528	0.99702233 -0.99848944 -0.96215254 -0.9995941
530	0.95740974 -0.88791716 -0.9995002 -0.99043775
536	0.9918798 -0.9954049 -0.9997792 -0.91408956
537	0.9646828 -0.9962872 -0.9974046 -0.96545875
538	0.91475177 -0.9999284 -0.9986965 -0.2705135
545	0.91618353 -0.9994899 -0.9991126 -0.33864412
549	0.9960988 -0.9999229 -0.9999218 -0.31311476
553	-0.84725237 -0.99855524 -0.99974465 0.99259406
566	0.99773455 -0.9529503 -0.99839157 -0.9837096
568	-0.67148155 0.4510237 -0.9996935 -0.8692755
569	0.9669486 -0.7879797 -0.9998507 -0.9874598
574	0.2300598 -0.9997243 -0.9773166 0.96025616
577	0.19672471 -0.93974614 -0.99922705 0.7443909
582	0.9953808 -0.9999718 -0.98598987 -0.9127431
583	0.423801 -0.997332 -0.8000714 -0.88987285
586	0.9575224 -0.9675787 -0.9998262 -0.91040397
588	0.995902 -0.99854034 -0.99981236 -0.86289656
589	0.99124146 -0.99043876 -0.9998278 -0.9378255
593	0.98640835 -0.9954221 -0.99986374 -0.8043156
594	0.99565077 -0.9979588 -0.9999885 -0.39802524
596	0.7971053 -0.98808104 -0.9998684 -0.4222369
598	0.98761153 -0.9995348 -0.9999902 -0.2432235
600	0.9940897 -0.995903 -0.9999987 -0.2629615
608	0.99475634 -0.99942756 -0.9481061 -0.9983234
610	0.99526304 -0.99995273 -0.98445386 -0.9585444
613	0.47222853 -0.08770208 -0.999767 -0.8680815
615	0.611632 -0.9985123 -0.99987394 -0.14686595
616	0.45342034 -0.99996215 -0.9978542 0.9961729
618	0.95670724 -0.98186284 -0.9997349 -0.864605
619	0.99150246 -0.99978095 -0.99949336 -0.63022023
621	0.994353 -0.9695953 -0.99992865 -0.94336915
622	0.9079558 -0.58394134 -0.9999087 -0.26966023
627	0.9654037 -0.99866265 -0.9973381 0.29452226
629	0.996993 -0.99881077 -0.9985847 -0.98284715
630	0.98985165 -0.9799265 -0.9996518 -0.9818967
634	0.9916932 -0.9942974 -0.9998803 -0.86939716
635	-0.42363444 -0.9995667 -0.99985254 0.98586327
639	0.37610534 -0.9965209 -0.9993697 0.45998067
643	0.9975051 -0.99685675 -0.9998833 -0.92495453
654	0.9786232 -0.9526046 -0.9989375 0.574602
656	0.5973987 -0.9993191 -0.99962795 -0.2467682
658	0.7406004 -0.99290437 -0.9982383 -0.0534833
660	0.9932897 -0.9967801 -0.9996123 -0.9386241
665	0.9908899 -0.9917873 -0.9998521 -0.7433358
667	-0.4348405 -0.9915623 -0.9998177 0.8528764
668	0.8547057 -0.9960373 -0.99271315 -0.9500669
669	0.98413646 -0.9972732 -0.99995667 0.42641327
673	0.7916446 -0.9998996 -0.9925739 -0.34964707
674	0.9933729 -0.99912584 -0.9999554 -0.44702613
675	0.5787291 -0.8780547 -0.99844867 -0.93418324
676	0.85522383 -0.996735 -0.99222463 -0.94604355
685	0.99652135 -0.9993156 -0.9998996 -0.67566186
687	0.9985584 -0.9997338 -0.998525 -0.9680226
688	0.8130952 -0.99840033 -0.99884737 -0.51661927
689	0.9921052 -0.99993736 -0.99976856 -0.33734238
694	0.9953275 -0.99989796 -0.9999661 0.7084978
695	0.9448185 -0.9318811 -0.99817055 -0.9948923
696	0.6852913 -0.84018487 -0.9999222 -0.28154287
699	0.52939594 0.17514065 -0.9972723 -0.47695693
702	-0.23727699 -0.99963534 -0.9999685 0.9471819
703	0.9698906 0.11740539 -0.9999208 -0.4988443
706	0.6059182 0.23980136 -0.9999836 -0.34493092
712	-0.5775319 -0.91830516 -0.99951375 0.41499227
714	0.9889196 -0.94441277 -0.9999036 -0.9704698
716	0.25690955 0.1920349 -0.9919612 -0.9532066
718	0.9616742 -0.99986327 -0.99971324 -0.29351258
720	-0.31849614 0.2346409 -0.9999971 0.9910164
